FIPS,Admin2,Province_State,Country_Region,Last_Update,Latitude,Longitude,Confirmed,Deaths,Recovered,Active,Combined_Key,Incident_Rate,Case_Fatality_Ratio,Time
,,,Afghanistan,2/7/2021 5:23,33.93911,67.709953,55330,2408,48027,4895,Afghanistan,142.1329514,4.352069402,1612693380000
,,,Albania,2/7/2021 5:23,41.1533,20.1683,84212,1446,50875,31891,Albania,2926.263118,1.717094951,1612693380000
,,,Algeria,2/7/2021 5:23,28.0339,1.6596,108629,2909,74330,31390,Algeria,247.7227281,2.677922102,1612693380000
,,,Andorra,2/7/2021 5:23,42.5063,1.5218,10206,105,9492,609,Andorra,13209.08561,1.028806584,1612693380000
,,,Angola,2/7/2021 5:23,-11.2027,17.8739,20062,475,18475,1112,Angola,61.04130837,2.367660253,1612693380000
,,,Antigua and Barbuda,2/7/2021 5:23,17.0608,-61.7964,288,7,187,94,Antigua and Barbuda,294.0936198,2.430555556,1612693380000
,,,Argentina,2/7/2021 5:23,-38.4161,-63.6167,1976689,49110,1772059,155520,Argentina,4373.614376,2.484457596,1612693380000
,,,Armenia,2/7/2021 5:23,40.0691,45.0382,167937,3114,159577,5246,Armenia,5667.355329,1.854266779,1612693380000
,,Australian Capital Territory,Australia,2/7/2021 5:23,-35.4735,149.0124,118,3,115,0,"Australian Capital Territory, Australia",27.56365335,2.542372881,1612693380000
,,New South Wales,Australia,2/7/2021 5:23,-33.8688,151.2093,5120,54,0,1807,"New South Wales, Australia",63.06972161,1.0546875,1612693380000
,,Northern Territory,Australia,2/7/2021 5:23,-12.4634,130.8456,102,0,98,4,"Northern Territory, Australia",41.53094463,0,1612693380000
,,Queensland,Australia,2/7/2021 5:23,-27.4698,153.0251,1312,6,1295,11,"Queensland, Australia",25.64754178,0.457317073,1612693380000
,,South Australia,Australia,2/7/2021 5:23,-34.9285,138.6007,602,4,596,2,"South Australia, Australia",34.27270139,0.664451827,1612693380000
,,Tasmania,Australia,2/7/2021 5:23,-42.8821,147.3272,234,13,221,0,"Tasmania, Australia",43.69747899,5.555555556,1612693380000
,,Victoria,Australia,2/7/2021 5:23,-37.8136,144.9631,20456,820,19615,21,"Victoria, Australia",308.541607,4.008603833,1612693380000
,,Western Australia,Australia,2/7/2021 5:23,-31.9505,115.8605,907,9,887,11,"Western Australia, Australia",34.47882612,0.992282249,1612693380000
,,,Austria,2/7/2021 5:23,47.5162,14.5501,422522,7994,400851,13677,Austria,4691.352816,1.891972489,1612693380000
,,,Azerbaijan,2/7/2021 5:23,40.1431,47.5769,231022,3156,224961,2905,Azerbaijan,2278.508853,1.366103661,1612693380000
,,,Bahamas,2/7/2021 5:23,25.025885,-78.035889,8256,176,6819,1261,Bahamas,2099.438522,2.131782946,1612693380000
,,,Bahrain,2/7/2021 5:23,26.0275,50.55,106713,379,100772,5562,Bahrain,6271.395518,0.355158228,1612693380000
,,,Bangladesh,2/7/2021 5:23,23.685,90.3563,537770,8190,482841,46739,Bangladesh,326.5359249,1.522955911,1612693380000
